iter	Passed	Remaining
0	3	3758
1	7	3635
2	11	3788
3	14	3698
4	18	3623
5	22	3701
6	26	3737
7	29	3719
8	33	3694
9	37	3669
10	40	3637
11	44	3627
12	47	3630
13	51	3630
14	54	3606
15	58	3609
16	62	3611
17	65	3599
18	68	3513
19	71	3511
20	75	3522
21	78	3510
22	82	3494
23	86	3507
24	89	3501
25	93	3500
26	97	3499
27	101	3507
28	104	3506
29	108	3497
30	111	3493
31	115	3489
32	118	3482
33	122	3484
34	126	3483
35	129	3479
36	133	3476
37	137	3472
38	140	3472
39	144	3478
40	148	3475
41	152	3478
42	156	3475
43	159	3469
44	163	3460
45	166	3460
46	170	3458
47	173	3449
48	177	3447
49	181	3445
50	185	3444
51	188	3437
52	192	3432
53	196	3436
54	201	3455
55	205	3466
56	209	3471
57	214	3477
58	217	3473
59	221	3469
60	225	3465
61	229	3466
62	232	3461
63	236	3462
64	240	3457
65	243	3452
66	247	3448
67	251	3448
68	255	3446
69	259	3441
70	262	3436
71	266	3439
72	271	3442
73	275	3445
74	279	3445
75	283	3440
76	286	3437
77	290	3430
78	293	3423
79	297	3417
80	300	3411
81	304	3407
82	307	3402
83	311	3398
84	315	3397
85	319	3390
86	322	3386
87	326	3379
88	330	3378
89	333	3376
90	337	3372
91	341	3366
92	344	3361
93	348	3361
94	352	3358
95	356	3353
96	359	3349
97	363	3344
98	366	3339
99	370	3336
100	374	3332
101	377	3326
102	381	3320
103	384	3314
104	388	3310
105	391	3305
106	395	3300
107	399	3296
108	402	3292
109	406	3289
110	410	3287
111	413	3281
112	417	3278
113	421	3274
114	424	3270
115	428	3266
116	432	3261
117	435	3256
118	439	3250
119	442	3246
120	446	3241
121	449	3236
122	453	3232
123	457	3230
124	460	3226
125	464	3219
126	467	3214
127	471	3210
128	474	3205
129	478	3202
130	481	3197
131	485	3193
132	489	3189
133	493	3186
134	496	3181
135	500	3177
136	504	3175
137	507	3169
138	511	3165
139	514	3163
140	518	3161
141	522	3155
142	525	3151
143	529	3147
144	533	3144
145	536	3139
146	540	3136
147	543	3130
148	547	3126
149	551	3124
150	555	3120
151	558	3118
152	562	3114
153	566	3109
154	569	3104
155	573	3100
156	576	3098
157	580	3094
158	584	3091
159	587	3086
160	591	3081
161	595	3078
162	598	3073
163	602	3069
164	605	3064
165	609	3060
166	612	3056
167	616	3052
168	620	3049
169	623	3044
170	626	3039
171	630	3034
172	633	3029
173	637	3023
174	640	3018
175	644	3015
176	647	3011
177	651	3007
178	654	3001
179	657	2997
180	661	2995
181	665	2991
182	668	2986
183	672	2983
184	676	2979
185	679	2974
186	683	2971
187	687	2967
188	690	2963
189	694	2959
190	697	2955
191	701	2951
192	704	2947
193	708	2944
194	712	2940
195	716	2937
196	719	2934
197	723	2929
198	726	2926
199	730	2922
200	734	2919
201	738	2916
202	742	2913
203	745	2908
204	749	2906
205	753	2903
206	757	2900
207	761	2897
208	765	2895
209	768	2891
210	772	2889
211	776	2886
212	780	2884
213	784	2881
214	787	2876
215	791	2873
216	795	2870
217	797	2860
218	800	2856
219	804	2851
220	808	2848
221	811	2844
222	815	2840
223	818	2836
224	822	2831
