iter	Logloss
0	0.6637676748
1	0.638819155
2	0.6157013775
3	0.5959449405
4	0.5787470536
5	0.563049578
6	0.5498726073
7	0.5379218656
8	0.5275015004
9	0.5181434668
10	0.5096019382
11	0.5019752139
12	0.4951075309
13	0.4892439161
14	0.4841224743
15	0.4794100444
16	0.4752322933
17	0.4715304638
18	0.4682589758
19	0.465203178
20	0.4629897381
21	0.4605727895
22	0.4584782773
23	0.4565370251
24	0.4547290838
25	0.4532932245
26	0.4519207219
27	0.4507434772
28	0.44965461
29	0.4487206959
30	0.4478842853
31	0.4472152165
32	0.4466719854
33	0.4460097322
34	0.4453811972
35	0.4448725746
36	0.4445731535
37	0.4441564869
38	0.4439014181
39	0.4435304987
40	0.4431712741
41	0.442912198
42	0.4426420993
43	0.4423664238
44	0.4421621849
45	0.4419853356
46	0.441865278
47	0.4417059544
48	0.4415530396
49	0.4414234125
50	0.4412721834
51	0.4411271667
52	0.4410011727
53	0.4408721887
54	0.4407667069
55	0.4406687782
56	0.4404919361
57	0.4403754752
58	0.4402624076
59	0.4401923915
60	0.4401040758
61	0.44005976
62	0.4400026449
63	0.4399711464
64	0.439931815
65	0.4398863329
66	0.4397957793
67	0.4396961103
68	0.4396554529
69	0.4396104504
70	0.4395309594
71	0.4394247981
72	0.4393421863
73	0.4392638216
74	0.4392158799
75	0.4391523452
76	0.4391110665
77	0.439047372
78	0.4390111978
79	0.4389750708
80	0.4389681062
81	0.4389356377
82	0.4388609023
83	0.4388151914
84	0.4387731461
85	0.4387479401
86	0.4387215315
87	0.43863759
88	0.4385971578
89	0.4385187349
90	0.4384546262
91	0.4384001814
92	0.43836881
93	0.4383319818
94	0.4382941182
95	0.4382693045
96	0.4382463001
97	0.4381813304
98	0.4381462678
99	0.438089309
100	0.4379995401
101	0.4379753331
102	0.4379435948
103	0.4378948212
