iter	Passed	Remaining
0	1	160
1	3	163
2	4	158
3	6	160
4	8	160
5	9	158
6	10	147
7	12	146
8	13	144
9	15	142
10	16	141
11	18	140
12	19	138
13	21	137
14	22	135
15	24	133
16	25	130
17	26	127
18	28	125
19	29	123
20	30	118
21	31	117
22	33	116
23	34	115
24	36	114
25	37	112
26	38	111
27	40	109
28	41	107
29	42	105
30	44	104
31	45	102
32	46	100
33	48	98
34	49	97
35	50	95
36	51	93
37	52	91
38	53	89
39	55	88
40	56	87
41	57	85
42	59	84
43	60	82
44	61	81
45	63	79
46	64	77
47	65	76
48	66	75
49	68	73
50	69	72
51	70	70
52	72	69
53	73	68
54	74	66
55	76	65
56	77	63
57	78	62
58	80	61
59	81	59
60	82	58
61	84	57
62	85	55
63	86	54
64	88	52
65	89	51
66	91	50
67	92	48
68	93	47
69	95	46
70	96	44
71	97	43
72	99	42
73	100	40
74	101	39
75	103	37
76	104	36
77	105	35
78	107	33
79	108	32
80	109	31
81	110	29
82	112	28
83	113	27
84	114	25
85	116	24
86	117	22
87	118	21
88	120	20
89	121	18
90	122	17
91	124	16
92	125	14
93	126	13
94	128	12
95	129	10
96	130	9
97	131	8
98	133	6
99	134	5
100	136	4
101	137	2
102	138	1
103	139	0
